CONDITION,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,
Diabetes mellitus type 2,ECG – Electrocardiogram,1232 or 1233,1,ECG – Electrocardiogram,1232 or 1233,1,1 (Ophthal- mologist) 1 (Other Specialist)
Diabetes mellitus type 2,Microalbuminuria,4261 or 4262,1,Microalbuminuria,4261 or 4262,2,
Diabetes mellitus type 2,HDL cholesterol,4028,1,HDL cholesterol,4028,1,
Diabetes mellitus type 2,Total cholesterol,4027,1,Total cholesterol,4027,1,
Diabetes mellitus type 2,LDL cholesterol,4026,1,LDL cholesterol,4026,1,
Diabetes mellitus type 2,Triglycerides,4147,1,Triglycerides,4147,1,
Diabetes mellitus type 2,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Diabetes mellitus type 2,U & E only,4171,1,U & E only,4171,1,
Diabetes mellitus type 2,Urine creatinine,4221,1,Urine creatinine,4221,1,
Diabetes mellitus type 2,Glucose – random/fasting,4057,1,HbA1c,4064,4,
Diabetes mellitus type 2,Serum creatinine,4032 or 4223,1,Serum creatinine,4032 or 4223,1,
Diabetes mellitus type 2,Two-hour glucose- OGTT,4049,1,Tonometry,3014,1,
Diabetes mellitus type 2,,,,Basic capital equipped in own rooms by ophthalmologists,3009,1,
Diabetes mellitus type 2,,,,Fundus examination,3003 or 3004,1,
Diabetes mellitus type 2,,,,Podiatrist,68301 or 68302,1,
Diabetes mellitus type 2,,,,Diabetes Educator,DFSC1,2,
Diabetes mellitus type 2,,,,Dietitian,84200 or 84201,1,
